Use Case,Material,Institution,Target pH,Till,Equation,Formula Rate (ton / A),ECCE/NI,Rate (T/A),Rate (lbs/A),,,
Correction,Aglime,ISU,6.0,Conventional,((38619 - (5915 * BpH)) * (6 * 0.167)) / 2000,-0.21,-0.31,-0.31,-612,,6.0,5.2
Correction,Aglime,ISU,6.5,Conventional,((49886 - (7245 * BpH)) * (6 * 0.167)) / 2000,1.04,1.51,1.51,3013,,6.5,5.4
Correction,Aglime,ISU,6.8,Conventional,((58776 - (8244 * BpH)) * (6 * 0.167)) / 2000,2.19,3.18,3.18,6358,,6.8,5.6
Correction,Aglime,ISU,6.0,No-Till,((38619 - (5915 * BpH)) * (3 * 0.167)) / 2000,-0.11,-0.15,-0.15,-306,,,5.8
Correction,Aglime,ISU,6.5,No-Till,((49886 - (7245 * BpH)) * (3 * 0.167)) / 2000,0.52,0.75,0.75,1507,,,6.0
Correction,Aglime,ISU,6.8,No-Till,((58776 - (8244 * BpH)) * (3 * 0.167)) / 2000,1.09,1.59,1.59,3179,,,6.3
Correction,Aglime,UW,5.2,Conventional,(36.1 - (3.29 * BpH) - (2.67 * WpH)),-1.634,-1.54375,-1.54,-3087,,,6.5
Correction,Aglime,UW,5.4,Conventional,(48.2 - (4.84 * BpH) - (3.03 * WpH)),-1.924,-1.817732558,-1.82,-3635,,,6.6
Correction,Aglime,UW,5.6,Conventional,(51 - (5.4 * BpH) - (2.67 * WpH)),-0.66,-0.623546512,-0.62,-1247,,,6.8
Correction,Aglime,UW,5.8,Conventional,(57.2 - (5.55 * BpH) - (3.5 * WpH)),-0.43,-0.40625,-0.41,-812,,,
Correction,Aglime,UW,6.0,Conventional,(72.7 - (7.59 * BpH) - (3.78 * WpH)),-0.074,-0.069912791,-0.07,-140,,,
Correction,Aglime,UW,6.3,Conventional,(103 - (12.6 * BpH) - (3.18 * WpH)),0.76,0.718023256,0.72,1436,,,
Correction,Aglime,UW,6.5,Conventional,(134 - (17.2 * BpH) - (2.73 * WpH)),4.1,3.873546512,3.87,7747,,,
Correction,Aglime,UW,6.6,Conventional,(152 - (20.3 * BpH) - (2.17 * WpH)),5,4.723837209,4.72,9448,,,
Correction,Aglime,UW,6.8,Conventional,(195 - (28.4 * BpH) + (0.144 * WpH)),8.424,7.95872093,7.96,15917,,,
Correction,Aglime,UW,5.2,No-Till,(36.1 - (3.29 * BpH) - (2.67 * WpH)) * 0.5,-0.817,-0.771875,-0.77,-1544,,,
Correction,Aglime,UW,5.4,No-Till,(48.2 - (4.84 * BpH) - (3.03 * WpH)) * 0.5,-0.962,-0.908866279,-0.91,-1818,,,
